SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
89,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_737_inferred_clock,top_bf_0.delay_ctrl.x_ic\[2\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
90,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.next_state[0],delay_calc_8|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
91,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.next_state[1],delay_calc_8|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
92,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.next_state[2],delay_calc_8|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
93,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_8|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[2\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
94,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_730_inferred_clock,top_bf_0.delay_ctrl.x_ic\[9\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
95,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.next_state[0],delay_calc_9|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
96,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.next_state[1],delay_calc_9|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
97,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.next_state[2],delay_calc_9|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
98,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_9|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[9\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
99,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_739_inferred_clock,top_bf_0.delay_ctrl.x_ic\[0\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
100,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.next_state[0],delay_calc_10|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
101,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.next_state[1],delay_calc_10|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
102,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.next_state[2],delay_calc_10|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
103,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_10|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[0\]\.delay_calc_inst.next_state[0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
104,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_738_inferred_clock,top_bf_0.delay_ctrl.x_ic\[1\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
105,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.next_state[0],delay_calc_11|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
106,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.next_state[1],delay_calc_11|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
107,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.next_state[2],delay_calc_11|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
108,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_11|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[1\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
109,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_728_inferred_clock,top_bf_0.delay_ctrl.x_ic\[15\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
110,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.next_state[0],delay_calc_12|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
111,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.next_state[1],delay_calc_12|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
112,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.next_state[2],delay_calc_12|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
113,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_12|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[15\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
114,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_732_inferred_clock,top_bf_0.delay_ctrl.x_ic\[11\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
115,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.next_state[0],delay_calc_13|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
116,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.next_state[1],delay_calc_13|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
117,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.next_state[2],delay_calc_13|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
118,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_13|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[11\]\.delay_calc_inst.next_state[2],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
119,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_735_inferred_clock,top_bf_0.delay_ctrl.x_ic\[4\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
120,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.next_state[0],delay_calc_14|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
121,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.next_state[1],delay_calc_14|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
122,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.next_state[2],delay_calc_14|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
123,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_14|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[4\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
124,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.dx[15:0],top|clk,delay_con_16s_16s_256s_0s_1s_2s_3s_4s_5s_6s|N_729_inferred_clock,top_bf_0.delay_ctrl.x_ic\[10\][0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
125,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.next_state[0],delay_calc_15|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
126,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.next_state[1],delay_calc_15|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
127,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.next_state[2],delay_calc_15|N_20_inferred_clock,top|clk,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.state[2:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
128,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.state[2:0],top|clk,delay_calc_15|N_20_inferred_clock,top_bf_0.delay_ctrl.delay_calc_arr\[10\]\.delay_calc_inst.next_state[1],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
